,TIENDA
TIENDA PEREIRA MULTICENTRO,0.0036042320660388326
CALI AUTOCINE,0.0035809789559353563
ITAGUI,0.003534472735728404
TIENDA MOSQUERA,0.003487966515521451
CAAVERAL,0.003487966515521451
TIENDA EASY SOACHA,0.0034414602953144985
TIENDA ZIPAQUIRA,0.003418207185211022
TIENDA SAN CAYETANO,0.0033949540751075456
YOPAL,0.0033949540751075456
TIENDA BANDERAS,0.00330194163469364
DUITAMA,0.00330194163469364
PLATAFORMA PANADERIA,0.00330194163469364
SAN CAYETANO,0.0032321823043832115
TIENDA EASY AMERICAS,0.0032089291942797348
TIENDA EASY GAITAN CORTES,0.0031856760841762585
PLATAFORMA PANADERIA MEDELLIN,0.0031624229740727823
BOSA,0.0031159167538658294
JUMBO PLAZA CENTRAL,0.0031159167538658294
TIENDA GIRARDOT,0.003069410533658877
AUTOCINE/LIMONAR,0.0030461574235554007
TIENDA EASY MAYALES,0.0029066387629345424
TIENDA GIRON,0.0029066387629345424
TIENDA DOSQUEBRADAS,0.00286013254272759
PASTO UNICENTRO,0.0028368794326241137
TIENDA TUNJA,0.002813626322520637
BUGA,0.0027903732124171608
GIRARDOT,0.0027671201023136845
SIMON BOLIVAR,0.0027438669922102083
TIENDA YOPAL,0.0026973607720032554
TIENDA RIONEGRO,0.002674107661899779
LA 30,0.002650854551796303
GIRON,0.002650854551796303
ZIPAQUIRA,0.0023485641204511105
TIENDA ITAGUI,0.002325311010347634
TIENDA EASY CENTRO MAYOR,0.002255551680037205
CARTAGO,0.002255551680037205
TIENDA BUGA,0.0022322985699337284
TIENDA SAN GIL,0.002185792349726776
PLATAFORMA PANADERIA CLL 80,0.0020927799093128706
FONTIBON,0.0020695267992093943
TIENDA CHIA BAZAR,0.002046273689105918
TIENDA PALMIRA,0.002046273689105918
PALMIRA,0.0020230205790024414
PRADO-FATELARES,0.001976514358795489
TIENDA FONTIBON,0.0019532612486920127
MOSQUERA,0.0019067550284850598
